station,date_range,date_min,date_max,total_readings,pm25_missing,pm25_missing_pct,pm10_missing,pm10_missing_pct,avg_gap_hours,latitude,longitude
"BTM Layout, Bengaluru - CPCB",2022-11-01 to 2023-12-31,2022-11-01,2023-12-31 23:00:00,9552,3593,37.61515912897823,9552,100.0,1.0703591244444444,12.913522,77.59508
"Bapuji Nagar, Bengaluru - KSPCB",2017-07-01 to 2023-12-31,2017-07-01,2023-12-31 23:00:00,55584,15794,28.414651698330456,55584,100.0,1.025475415,12.951913,77.539784
"City Railway Station, Bengaluru - KSPCB",2018-06-01 to 2023-12-31,2018-06-01,2023-12-31 23:00:00,48336,7415,15.34053293611387,48336,100.0,1.0129098994444443,12.975684,77.566075
"Hebbal, Bengaluru - KSPCB",2018-06-01 to 2023-12-31,2018-06-01,2023-12-31 23:00:00,48312,3778,7.820003311806591,48312,100.0,1.0134130941666666,13.029152,77.585901
"Hombegowda Nagar, Bengaluru - KSPCB",2018-06-01 to 2023-12-31,2018-06-01,2023-12-31 23:00:00,48312,7416,15.350223546944857,48312,100.0,1.0134130941666666,12.938539,77.5901
"Jayanagar 5th Block, Bengaluru - KSPCB",2018-06-01 to 2023-12-31,2018-06-01,2023-12-31 23:00:00,48312,6310,13.06093724126511,48312,100.0,1.0134130941666666,12.920984,77.584908
"Jigani, Bengaluru - KSPCB",2017-01-01 to 2023-12-31,2017-01-01,2023-12-31 23:00:00,59448,21370,35.94738258646212,59448,100.0,1.0318939558333333,12.781628,77.629915
"Kadubeesanahalli, Bengaluru - CPCB",2017-01-01 to 2023-12-31,2017-01-01,2023-12-31 23:00:00,60048,8327,13.867239541699975,60048,100.0,1.0215830930555556,12.938965,77.6964066
"Kasturi Nagar, Bengaluru - KSPCB",2022-11-01 to 2023-12-31,2022-11-01,2023-12-31 23:00:00,9600,2084,21.708333333333332,9600,100.0,1.0650067713888889,13.003872,77.664217
"Peenya, Bengaluru - KSPCB",2017-01-01 to 2023-12-31,2017-01-01,2023-12-31 23:00:00,60144,6301,10.476523011439212,60144,100.0,1.0199524466666667,13.03,77.52
"RVCE Mailasandra, Bengaluru - KSPCB",2017-01-01 to 2023-12-31,2017-01-01,2023-12-31 23:00:00,60144,16567,27.545557329076882,60144,100.0,1.0199524466666667,12.9232191,77.5006464
"Sanegurava Halli, Bengaluru - KSPCB",2018-06-01 to 2023-12-31,2018-06-01,2023-12-31 23:00:00,48312,5308,10.986918363967545,48312,100.0,1.0134130941666666,12.9904292,77.5422438
"Shivapura Peenya, Bengaluru - KSPCB",2023-03-01 to 2023-12-31,2023-03-01,2023-12-31 23:00:00,7320,2563,35.013661202185794,7320,100.0,1.0032791363888889,13.016048,77.5045057
"Silk Board, Bengaluru - KSPCB",2023-01-01 to 2023-12-31,2023-01-01,2023-12-31 23:00:00,8544,1642,19.218164794007492,8544,100.0,1.0252838580555557,12.917348,77.622813
site_1553,2024-01-01 to 2025-11-09,2024-01-01,2025-11-09 01:45:00,64194,4212,6.561360874848117,3972,6.187494158332554,0.2535128438888889,12.951913,77.539784
site_1554,2024-01-01 to 2025-12-31,2024-01-01,2025-12-31 23:30:00,67960,5165,7.600058858151853,2303,3.3887580929958796,0.2581482952777778,13.029152,77.585901
site_1556,2024-01-01 to 2025-12-31,2024-01-01,2025-12-31 23:30:00,66785,3576,5.354495770008235,3909,5.853110728456989,0.2626901652777778,12.920984,77.584908
site_1558,2024-01-01 to 2025-12-31,2024-01-01,2025-12-31 23:45:00,70176,8094,11.533857729138166,8769,12.495725034199728,0.25,12.917348,77.622813
site_162,2024-01-01 to 2025-12-31,2024-01-01,2025-12-31 23:45:00,63844,3387,5.305118726896811,4771,7.472902700332059,0.27479520055555556,12.913522,77.59508
site_163,2024-01-01 to 2025-12-31,2024-01-01,2025-12-31 23:45:00,65455,3551,5.425101214574899,8387,12.813383240394163,0.2680317472222222,13.03,77.52
site_5678,2024-01-01 to 2025-12-31,2024-01-01,2025-12-31 23:45:00,70176,19597,27.925501595987235,27364,38.993388052895575,0.25,12.9232191,77.5006464
site_5681,2024-01-01 to 2025-12-31,2024-01-01,2025-12-31 23:45:00,70176,8233,11.731931144550844,8040,11.456908344733243,0.25,13.003872,77.664217
site_5686,2024-01-01 to 2025-12-31,2024-01-01,2025-12-31 23:45:00,70176,14820,21.118331053351575,14319,20.40441176470588,0.25,13.016048,77.5045057
site_5729,2024-01-01 to 2025-12-31,2024-01-01,2025-12-31 23:45:00,70176,13616,19.40264477884177,12901,18.383777929776564,0.25,12.781628,77.629915
